,I0T,I0N,I0G,I0A,D0D,D0G,D0A,D0L,D0N,D0I,D0K,D0T,D0V,D0Q,D0S,D0R,D0Y,Y0L,Y0N,Y0D,Y0F,Y0G,Y0A,Y0T,Y0S,V0G,V0D,V0A,V0V,V0T,E0A,E0G,E0L,K0N,K0L,K0I,K0G,K0D,K0A,K0Y,K0V,K0T,K0S,F0D,F0A,F0N,L0Y,L0T,L0S,L0N,L0K,L0D,L0G,L0A,A0D,A0G,A0A,A0L,A0N,A0I,A0K,A0T,A0V,A0Q,A0S,A0Y,Q0T,Q0V,Q0S,V0N,Q0Y,Q0G,V0S,Q0A,Q0L,Q0N,Q0I,V0Y,Q0K,G0S,G0Q,G0V,G0T,G0Y,G0A,G0G,G0D,G0E,G0K,G0N,G0L,N0N,N0L,N0K,N0I,N0G,N0D,N0A,N0Y,N0V,N0T,N0S,N0Q,S0G,S0D,S0E,S0A,S0N,S0L,S0K,S0V,S0T,S0S,S0Y,T0T,T0V,T0Q,T0S,T0Y,T0E,T0D,T0G,T0A,T0L,T0N,T0K
AFM81411.1,7,10,12,9,7,6,4,7,14,8,11,6,8,5,7,5,5,6,14,14,8,9,6,5,4,14,11,11,9,9,6,7,6,2,6,9,4,3,5,8,7,8,5,4,6,7,1,6,4,11,8,5,1,11,12,12,5,9,9,7,7,13,3,3,13,5,5,4,6,9,3,7,4,6,6,3,3,10,10,10,14,7,4,7,12,3,3,1,5,6,5,3,9,4,4,14,10,6,13,10,10,7,12,9,8,4,6,4,4,4,11,6,6,8,10,9,2,10,4,5,10,6,11,5,9,7
AFM81412.1,8,8,7,9,7,9,5,6,9,5,7,7,7,3,6,9,4,10,11,8,8,5,3,7,6,13,8,13,6,6,5,5,5,5,5,8,6,5,7,7,9,8,3,6,4,6,6,7,9,10,8,5,3,13,13,11,3,9,8,5,9,9,5,5,14,7,5,5,7,11,4,6,5,6,3,6,4,7,9,8,10,7,4,6,11,4,3,3,4,6,11,9,9,7,9,8,9,10,11,11,9,5,6,10,6,1,11,11,6,6,12,5,7,4,17,7,6,11,3,5,9,5,8,5,10,8
BAM35938.1,1,5,8,5,9,7,4,8,18,1,4,9,8,12,6,6,10,6,10,12,7,6,4,4,3,7,7,9,6,7,2,4,6,3,10,5,9,4,9,8,5,3,1,5,12,5,2,8,7,12,8,8,8,6,15,15,9,6,8,5,3,6,2,10,15,8,2,11,7,12,5,10,5,7,3,11,4,4,11,5,11,6,15,5,12,6,5,4,8,5,13,8,5,8,7,9,18,15,6,7,10,8,15,6,5,4,8,7,3,4,7,2,6,4,10,6,9,2,7,0,9,7,5,7,11,5
AFP53921.1,6,11,12,8,14,13,5,11,18,7,8,10,11,6,16,4,8,9,5,18,13,4,7,9,4,11,10,10,4,5,6,9,7,3,4,3,10,3,7,7,5,4,5,8,3,8,9,11,7,12,9,11,2,7,15,11,10,8,9,6,7,14,4,8,5,8,6,8,7,11,7,8,10,9,4,7,10,7,9,8,18,5,7,6,12,6,5,4,4,6,11,5,7,6,5,5,12,11,9,10,14,6,8,5,14,5,5,7,9,5,7,11,3,10,14,10,11,13,6,9,18,4,7,5,7,4
AFS40114.1,5,8,10,4,7,12,11,11,5,7,3,12,8,17,6,6,7,6,11,10,5,6,10,7,5,10,6,9,4,12,5,3,4,5,3,4,5,13,6,5,8,14,4,5,5,4,5,6,8,14,2,8,4,8,11,5,6,10,9,7,10,11,4,4,8,10,2,14,4,11,5,8,4,5,6,10,11,6,7,4,14,2,14,3,11,4,4,3,6,6,11,8,6,7,0,6,16,8,5,8,9,9,9,10,7,3,7,5,7,9,6,9,8,8,16,8,8,11,4,8,17,7,7,2,8,7
AFS40420.1,7,12,13,3,11,9,5,13,13,9,9,12,8,10,17,3,8,9,6,13,7,5,8,8,10,10,8,15,6,3,2,1,4,8,8,4,7,4,6,7,3,13,10,9,4,2,5,13,9,9,4,11,3,6,11,10,4,6,7,3,13,11,8,7,6,4,5,11,9,15,4,9,6,4,7,10,12,10,14,9,10,5,8,5,14,5,6,4,2,7,9,10,8,6,5,9,17,5,10,10,9,8,15,5,16,6,11,9,6,7,8,10,8,11,5,7,12,7,3,3,11,10,4,5,16,12
AFS71545.1,4,2,1,1,1,3,7,3,5,3,0,1,3,1,5,0,4,1,1,2,2,5,6,6,6,4,4,6,6,9,4,2,6,3,3,3,9,4,7,6,6,10,5,2,0,3,3,8,4,5,6,2,5,8,4,8,5,9,5,2,7,7,8,0,7,6,6,2,0,5,2,0,4,6,3,1,1,4,4,2,4,4,8,2,7,5,4,3,4,2,7,2,3,7,2,3,4,1,4,6,5,3,0,5,4,4,5,3,4,3,5,4,5,4,8,9,2,7,4,3,2,5,7,5,4,17
AFT81671.1,9,10,13,4,15,10,3,9,18,8,12,7,17,14,14,5,8,8,10,12,9,7,11,6,9,13,12,11,10,5,3,2,7,10,7,6,9,6,4,9,4,10,10,10,4,5,4,8,8,11,5,10,3,4,11,6,5,7,8,5,12,8,3,10,7,8,3,9,8,11,4,8,3,11,7,9,12,7,15,5,11,5,10,7,12,5,10,8,3,3,11,11,6,7,5,9,20,13,7,8,11,9,11,14,9,6,7,8,6,6,9,4,10,7,5,6,9,8,5,1,17,10,3,3,7,4
AFT82440.1,6,21,16,6,25,23,20,17,19,8,16,33,33,24,22,10,12,15,20,26,11,10,13,14,10,33,23,17,9,19,8,11,14,14,10,15,18,19,25,10,24,8,12,14,10,7,10,13,23,17,4,27,9,16,19,14,8,14,11,9,9,45,3,11,6,8,4,13,11,19,10,7,11,9,10,13,18,11,18,20,29,12,16,16,21,13,16,8,8,8,23,17,14,15,9,18,24,12,12,17,15,14,16,20,24,9,10,10,17,11,12,11,12,14,27,12,9,25,9,9,36,15,6,11,21,26
AGC00414.1,5,14,9,6,7,7,6,9,7,7,11,5,8,9,15,5,6,11,9,10,8,9,10,3,6,8,6,12,8,9,6,2,3,11,4,9,8,3,12,8,6,8,8,5,4,6,8,6,9,12,7,3,6,9,15,8,6,6,8,6,12,14,2,4,14,5,4,7,6,5,5,6,3,4,5,10,6,7,11,3,15,6,9,5,9,5,9,3,7,4,11,7,6,16,5,7,13,7,9,8,7,6,7,14,5,11,4,11,10,9,7,9,7,9,9,4,11,13,7,4,9,6,12,6,6,5
AGC00415.1,5,14,9,6,7,7,6,9,8,7,10,5,8,9,15,5,6,11,9,10,8,9,10,3,7,7,6,12,8,9,7,2,3,10,4,9,8,3,11,8,6,8,9,5,4,6,8,6,9,12,7,3,6,9,15,9,6,6,8,6,13,14,2,5,14,6,4,7,6,5,5,6,3,4,5,10,6,7,11,3,15,6,9,5,9,5,9,3,7,4,11,7,6,16,5,7,13,8,9,7,7,6,7,14,5,11,5,11,10,9,7,9,7,9,9,4,11,13,7,4,9,6,12,6,6,5
AGC00416.1,4,13,8,6,9,7,5,10,7,8,15,6,8,10,16,5,6,11,9,10,8,9,10,3,7,7,4,12,8,10,8,2,4,11,4,9,6,3,11,8,6,9,8,5,3,6,8,6,9,11,6,4,6,8,16,9,7,5,7,5,13,16,1,8,14,7,1,6,9,5,5,7,4,5,5,10,7,5,11,3,15,6,8,5,9,5,9,3,8,4,11,5,6,11,5,7,13,8,9,6,9,7,7,15,8,9,4,11,10,9,5,10,7,9,8,6,7,14,7,3,12,4,14,5,4,5
AGC00417.1,6,15,9,6,7,7,6,9,7,8,11,4,8,9,15,5,6,11,9,10,8,9,10,3,7,7,6,12,8,11,5,2,3,11,4,9,8,3,12,8,6,8,8,5,4,6,8,6,9,12,7,3,6,9,15,9,6,6,8,6,13,12,2,4,14,6,4,7,6,4,5,6,3,4,5,10,6,7,11,3,15,6,9,5,9,5,9,3,7,4,11,7,6,16,5,7,13,7,9,8,7,6,7,14,5,11,4,11,9,9,6,9,7,9,9,4,11,13,7,4,9,6,12,6,6,5
AGC00418.1,5,14,9,6,7,7,6,9,8,7,11,5,8,9,14,5,6,11,9,10,8,9,10,3,7,7,6,12,8,9,7,2,3,11,4,9,8,3,12,8,6,8,8,5,4,6,8,6,9,12,7,3,6,9,15,9,6,6,8,6,13,14,2,4,13,6,4,7,6,5,5,6,3,4,5,10,6,7,11,3,15,6,9,5,9,5,9,3,7,4,11,7,6,16,5,7,13,7,10,9,7,6,7,14,5,11,4,11,10,9,6,9,7,9,10,4,11,14,7,4,9,6,11,6,6,5
AGC00419.1,5,14,9,6,7,7,6,9,7,7,11,5,8,9,15,5,6,11,9,10,8,9,10,3,7,7,6,12,8,9,6,2,3,10,4,9,8,3,12,8,6,8,9,5,4,6,8,6,9,12,8,3,6,9,15,9,6,6,8,6,13,14,2,4,14,6,4,7,6,5,5,6,3,4,5,10,6,7,11,3,15,6,9,5,9,5,9,3,7,4,11,7,6,16,5,7,13,6,9,8,7,6,7,14,5,11,5,11,10,9,7,9,7,9,9,4,11,13,7,4,9,6,12,6,6,5
AGC00420.1,5,14,9,6,7,7,6,9,7,6,11,5,8,9,15,5,6,11,9,10,8,8,10,3,8,7,6,12,8,9,7,2,3,11,4,9,8,3,12,8,6,8,8,5,4,6,8,6,9,12,7,2,6,9,16,9,6,6,7,6,13,14,2,4,14,6,4,7,6,5,5,6,3,4,5,10,6,7,11,3,15,6,9,5,9,5,9,3,7,4,10,7,6,16,5,7,13,7,9,8,7,6,7,14,5,11,4,11,11,9,7,8,7,9,9,4,11,13,7,3,9,6,12,6,6,5
AGC00421.1,5,14,8,6,7,7,6,9,7,7,11,5,8,9,15,6,5,11,9,10,8,9,10,3,7,7,6,12,8,9,6,2,3,10,4,9,8,3,11,8,6,8,9,5,4,6,8,6,9,12,7,3,6,9,15,9,6,6,8,6,12,14,2,4,14,6,4,7,7,5,5,6,3,4,5,10,6,7,11,3,15,6,9,5,9,5,9,3,7,4,11,7,6,16,5,7,13,6,9,8,7,6,7,14,5,12,5,11,10,9,7,9,7,9,9,4,12,13,7,4,9,6,12,6,6,5
AGC00422.1,5,14,9,6,7,7,6,10,7,7,11,5,8,9,15,4,6,11,9,10,8,9,10,3,7,7,6,12,8,9,6,2,3,10,4,9,8,3,11,8,6,8,8,5,4,6,8,6,9,12,7,3,6,9,16,9,6,6,7,6,12,14,2,4,14,6,4,7,7,5,5,6,3,4,5,10,6,7,11,3,15,6,9,5,9,5,9,3,7,4,11,8,5,16,5,7,12,6,9,8,7,6,7,14,5,11,5,11,10,9,7,9,7,9,9,4,12,13,7,4,9,6,12,6,6,5
AGC00423.1,4,13,8,7,9,7,5,10,8,8,15,6,8,10,15,5,6,11,9,10,8,9,10,3,7,7,4,11,8,10,8,2,3,11,5,9,6,3,11,8,6,9,8,5,3,6,8,6,9,11,6,4,6,8,16,9,7,5,7,6,12,14,1,8,15,7,1,6,9,5,5,7,4,5,5,9,7,6,12,3,15,6,8,5,9,5,9,3,8,4,11,5,6,11,5,8,13,7,9,6,9,7,7,14,8,9,4,11,9,9,5,12,6,9,8,6,7,14,7,3,12,4,14,6,4,5
AGC00424.1,5,15,9,6,7,7,6,9,7,7,11,5,8,9,15,5,6,11,9,10,8,9,10,3,7,7,6,12,8,10,6,2,3,11,4,9,8,3,12,8,6,8,8,5,4,6,8,6,9,12,7,3,6,9,15,9,6,6,8,6,13,13,2,4,13,6,4,7,6,4,5,6,3,4,5,10,6,7,11,3,15,6,9,5,9,5,9,3,7,4,11,7,6,16,5,7,13,7,9,8,7,6,7,14,5,11,4,11,10,9,6,9,7,9,10,4,11,14,7,4,9,6,11,6,6,5
AGC00426.1,5,14,9,6,7,7,6,9,7,7,11,5,8,9,15,5,6,11,9,10,8,9,10,3,6,7,6,12,8,9,7,2,3,11,4,9,8,3,11,8,6,8,8,5,4,6,8,6,9,12,7,3,6,9,16,9,6,6,7,6,13,14,2,4,14,6,4,7,6,5,5,6,3,4,5,10,6,7,11,3,15,6,9,5,9,5,9,3,7,4,11,7,6,16,5,7,13,7,9,8,7,6,7,14,5,11,4,11,10,9,7,9,7,9,9,4,11,13,7,4,9,6,12,6,6,5
AGC00431.1,6,11,7,5,9,8,8,11,7,8,12,6,7,13,12,4,4,11,11,9,8,8,13,3,7,9,5,12,5,7,5,2,3,9,3,8,10,5,10,11,8,10,12,8,5,4,7,6,7,12,7,6,4,8,17,9,7,7,8,7,12,12,2,6,15,8,2,6,7,7,4,8,6,4,5,7,9,7,16,5,15,6,10,5,10,5,8,2,9,4,10,4,7,13,5,7,17,8,12,5,8,7,8,13,5,10,6,10,9,11,7,5,6,10,11,8,5,13,6,3,9,6,14,3,11,4
AGC00432.1,7,8,7,10,8,9,5,6,8,5,7,7,7,3,6,9,4,10,11,8,8,5,4,7,7,13,8,13,6,6,5,5,4,5,5,8,6,5,7,7,9,8,3,6,4,6,6,7,9,10,8,5,3,12,13,11,3,9,10,6,8,9,5,5,13,7,5,5,7,10,4,6,5,6,3,6,4,7,9,8,10,7,4,6,11,4,3,3,4,6,11,9,9,7,10,8,8,9,10,11,9,5,6,10,6,1,10,10,6,6,13,5,8,5,17,6,6,11,3,5,8,5,9,5,10,8
AGC00433.1,7,8,8,10,8,9,5,6,8,5,7,7,7,3,6,9,4,10,11,8,8,5,3,7,6,12,8,13,5,6,5,5,5,5,5,8,6,5,7,7,9,8,3,6,4,6,6,7,9,10,8,5,3,13,13,10,3,9,9,6,8,9,5,5,14,7,5,5,7,10,4,6,5,6,3,6,4,7,9,8,10,7,4,6,11,4,3,3,4,6,11,9,9,7,9,8,9,10,10,11,9,5,6,11,6,1,9,11,6,6,12,5,7,4,17,5,6,11,3,5,9,6,9,5,10,8
AGC00434.1,7,8,7,10,7,10,6,5,9,6,7,7,6,3,6,8,4,9,11,8,9,6,3,5,6,12,7,13,8,4,4,5,4,6,5,8,6,4,6,7,10,8,2,6,4,6,6,7,7,11,7,6,3,12,13,13,3,9,12,6,7,12,5,5,11,7,5,5,7,10,4,5,5,6,3,5,3,7,9,9,9,6,5,6,11,4,3,3,5,5,12,8,9,7,10,8,9,12,11,11,9,4,5,11,7,1,10,8,5,5,11,5,8,4,16,5,5,11,3,6,8,5,10,4,10,9
AGC00435.1,7,8,7,9,8,9,5,6,8,5,7,7,7,3,6,9,4,10,11,8,8,5,4,7,6,13,9,13,6,6,5,5,5,5,5,8,6,5,7,7,9,8,3,6,4,6,6,7,9,10,8,5,3,12,12,10,3,9,10,6,9,9,5,5,14,7,5,5,7,10,4,6,5,6,3,6,4,7,9,8,10,7,4,6,11,4,3,3,4,6,11,9,9,7,10,8,9,9,10,11,9,5,6,12,6,1,10,10,6,6,11,5,7,5,17,6,6,11,3,5,9,5,9,5,10,8
AGC00436.1,8,8,7,9,8,9,5,6,8,5,7,7,7,3,6,9,4,10,11,8,8,5,4,7,6,13,8,13,6,6,5,5,5,5,5,8,6,5,7,7,9,8,3,6,4,6,6,7,9,10,8,5,3,13,13,11,3,9,10,5,8,9,5,5,14,7,5,5,7,10,4,6,5,6,3,6,4,7,9,8,10,7,4,6,11,4,3,3,4,6,11,9,9,7,9,8,9,9,10,12,9,5,6,10,6,1,10,11,6,6,12,5,7,5,17,6,6,11,3,5,9,5,9,5,10,8
AGC00437.1,7,7,7,10,9,8,4,6,8,6,7,8,7,3,6,9,4,9,12,7,9,5,4,7,6,13,8,13,6,6,5,5,5,5,5,8,6,5,6,7,9,9,4,6,4,6,6,7,7,10,8,6,3,13,13,11,3,9,9,5,10,9,5,5,14,6,4,5,7,10,4,6,5,7,3,5,4,8,9,8,10,7,4,6,11,4,3,3,4,6,12,9,9,6,7,10,9,8,10,13,9,4,6,10,6,1,10,10,5,6,11,5,7,5,17,6,5,11,4,5,9,5,9,5,10,7
AGC00438.1,7,8,7,10,9,9,5,6,8,6,7,6,7,3,6,9,4,9,12,7,9,5,4,7,6,13,8,13,6,6,5,5,5,5,5,8,6,5,5,8,9,9,3,6,4,6,5,7,8,9,7,6,3,13,13,11,3,9,9,5,9,9,5,5,14,7,5,5,7,10,4,6,5,6,3,5,4,8,9,8,10,8,4,6,11,4,3,3,5,5,11,9,9,5,9,9,9,10,9,11,9,4,6,10,6,1,10,9,5,7,12,5,7,5,17,6,5,11,4,5,9,5,9,5,10,8
AGC00439.1,8,8,7,9,7,9,5,6,9,5,7,7,7,3,6,9,4,10,11,8,8,5,3,6,6,13,8,13,6,6,5,5,5,5,5,8,6,5,7,7,9,8,3,6,4,6,6,7,9,10,7,5,3,13,13,11,3,9,7,5,9,9,5,5,15,7,5,5,7,11,4,6,5,6,3,6,4,7,9,8,10,7,4,6,11,4,3,3,4,6,11,9,9,7,8,8,9,10,11,12,8,5,6,10,6,1,11,12,6,6,12,6,7,4,17,7,6,11,3,5,9,5,8,4,10,8
AGC00440.1,7,8,7,10,8,9,5,6,8,5,7,8,7,3,5,9,4,10,11,8,8,5,4,7,6,13,8,13,6,6,5,5,5,4,5,8,6,5,7,7,8,8,4,6,4,6,6,7,9,10,8,5,3,13,12,11,3,9,10,6,8,9,4,5,15,7,5,5,7,10,4,6,5,6,3,6,4,7,9,8,10,7,5,6,10,4,3,3,4,6,11,9,9,6,9,8,9,9,10,11,8,6,6,10,7,1,11,10,6,7,12,6,7,5,18,7,6,11,3,5,9,5,8,5,10,9
AGC00441.1,7,8,7,10,7,10,6,6,9,5,7,7,6,3,6,8,4,9,11,8,9,6,3,5,6,12,7,13,8,4,4,5,4,6,5,8,6,4,7,7,10,8,2,6,4,6,7,8,9,10,8,5,3,13,13,13,3,9,11,6,8,12,5,5,11,7,4,5,7,10,4,5,5,6,3,6,3,6,9,9,9,5,5,6,11,4,3,3,5,5,12,8,9,8,9,7,9,11,11,11,9,5,5,11,7,1,11,9,6,5,11,5,8,4,16,5,5,11,3,6,8,5,10,5,10,9
AGC00442.1,7,8,7,9,8,8,5,6,8,5,7,7,7,3,6,9,4,10,11,8,8,5,4,7,6,13,8,13,6,6,4,5,5,5,5,8,6,5,7,7,8,8,3,6,4,6,6,7,9,10,8,5,3,13,13,10,3,9,9,6,9,8,5,5,14,7,5,5,7,10,3,6,5,6,3,6,4,7,9,8,10,7,4,6,11,4,3,3,4,6,11,9,9,6,9,9,9,9,10,11,9,5,6,11,6,1,11,11,6,6,11,6,7,5,17,6,6,11,3,5,8,5,9,5,10,8
AGC00443.1,7,8,7,9,8,8,5,6,8,5,7,7,7,3,6,8,4,10,11,8,8,5,4,7,6,13,8,13,7,6,4,6,5,5,5,8,6,5,7,7,8,8,3,6,4,6,6,7,9,10,8,5,3,13,13,10,3,9,9,6,9,8,5,5,14,7,5,5,7,10,4,6,5,6,2,6,4,7,9,8,10,7,4,6,11,4,3,3,4,6,11,9,9,7,9,9,9,9,10,11,9,5,6,11,6,1,11,11,6,6,11,6,7,5,17,6,6,11,3,5,8,5,9,5,10,8
AGC00444.1,7,8,7,10,8,9,5,6,8,5,6,7,7,3,6,9,4,9,11,7,8,5,4,7,6,13,8,13,6,6,5,5,5,5,5,7,6,5,7,8,10,8,3,6,4,6,6,7,9,10,8,4,3,13,13,11,3,8,9,6,9,9,5,5,14,7,5,5,7,10,4,6,5,6,3,6,4,7,9,8,10,7,4,6,11,4,3,3,5,5,12,9,9,8,8,8,10,9,9,12,9,5,6,10,6,1,11,11,6,6,11,5,7,5,17,6,6,11,3,5,9,5,9,4,10,8
AGC00446.1,7,8,7,9,8,8,5,6,8,5,7,7,7,3,6,9,4,10,11,6,8,5,4,7,6,13,8,13,6,6,4,5,5,5,5,8,6,5,7,7,8,8,3,6,4,6,5,7,9,10,8,5,3,13,13,10,3,9,9,6,9,8,5,5,14,7,5,5,7,10,4,6,5,6,3,6,4,7,9,8,10,7,4,6,11,4,3,3,4,6,11,9,9,7,9,9,9,9,10,11,9,5,6,11,6,1,11,11,6,6,11,6,7,5,17,6,6,11,3,5,8,5,9,5,10,8
AGC00447.1,7,8,7,10,8,9,5,6,8,5,7,7,7,3,6,9,4,10,11,8,8,5,4,7,7,13,8,13,6,6,5,5,4,5,5,8,6,6,7,7,9,8,3,6,4,6,6,7,9,10,8,5,3,12,13,11,3,9,10,6,8,9,5,5,13,7,5,5,7,10,4,6,5,6,3,6,4,7,9,8,10,7,4,6,11,4,3,3,4,6,11,9,9,7,10,8,8,9,10,11,9,5,6,10,6,1,10,10,6,6,13,5,8,5,17,6,6,11,3,5,8,5,9,5,10,8
AGC00448.1,7,8,7,9,8,8,5,6,8,5,7,7,7,3,6,9,4,10,11,8,7,5,4,7,7,13,8,12,6,7,4,5,5,5,5,8,6,5,7,7,8,8,3,6,4,5,6,7,9,10,8,5,3,13,13,10,2,9,9,6,9,8,5,5,14,7,5,5,7,10,4,6,5,6,3,6,4,7,9,8,10,7,4,6,11,4,3,3,5,6,11,9,9,7,9,9,9,9,10,11,9,5,6,11,6,1,11,12,6,6,11,6,7,5,17,6,6,11,3,5,8,5,10,5,10,8
AGC00449.1,6,10,9,7,6,4,6,6,11,4,8,8,6,5,5,6,5,7,12,8,9,5,4,7,6,9,8,21,5,3,3,5,5,6,5,9,6,6,10,9,10,7,5,8,4,6,4,8,10,7,8,6,6,8,10,9,4,7,14,4,8,13,4,5,15,7,3,4,4,10,3,9,4,6,3,2,3,8,9,7,10,10,6,6,12,4,4,4,3,7,6,9,10,9,6,12,11,11,10,12,9,5,7,13,4,4,7,9,6,6,8,8,13,3,7,5,5,8,5,4,11,5,9,8,11,10
AGC00450.1,7,10,12,9,7,6,4,7,14,8,11,6,8,5,7,5,4,7,13,14,7,9,6,5,4,14,11,11,9,9,6,7,6,2,6,9,4,3,6,7,7,7,5,4,6,8,1,6,4,12,8,5,1,11,12,13,5,9,7,8,7,13,3,3,14,5,5,4,6,9,3,7,5,6,6,3,3,9,10,10,14,7,4,7,12,3,3,1,4,7,5,3,9,4,3,14,10,6,14,10,10,7,11,9,8,6,6,4,4,4,11,6,6,8,10,9,2,10,4,5,10,5,11,5,9,7
AGC00451.1,8,9,12,9,8,6,4,7,14,8,11,6,8,5,7,5,5,6,14,14,8,9,7,4,4,13,12,11,9,9,6,7,6,2,6,9,4,3,5,8,10,7,4,4,6,7,1,6,4,11,8,6,1,10,11,12,5,9,9,7,7,13,3,3,12,5,5,4,6,9,3,7,5,6,6,3,3,11,10,9,14,7,4,7,12,3,3,1,5,6,5,3,8,4,5,14,10,6,13,10,10,7,12,9,8,5,6,4,5,4,11,6,7,8,9,9,2,10,3,5,10,6,10,5,9,7
AGC00452.1,7,8,10,9,8,7,4,7,12,6,10,8,9,4,8,6,2,7,13,12,7,8,7,4,4,12,10,10,7,8,4,7,5,2,6,9,4,3,6,7,8,8,4,5,5,5,2,6,4,10,8,6,1,10,12,10,5,9,7,8,6,12,3,3,12,6,6,4,6,11,3,5,3,5,5,2,2,10,9,8,13,7,4,7,11,3,3,1,4,6,5,3,8,5,4,12,9,8,11,8,11,6,9,9,8,5,5,3,5,3,12,6,6,8,10,9,2,11,2,8,9,5,9,5,11,8
AGC00453.1,7,10,12,9,7,6,4,7,14,8,11,6,8,5,7,5,4,7,14,14,7,9,6,5,4,14,12,11,9,9,6,7,6,2,6,9,4,3,5,8,7,8,5,4,6,7,1,6,4,11,8,5,1,10,10,13,5,9,9,7,7,13,3,3,12,6,5,4,6,9,3,7,5,6,6,3,2,9,10,10,13,7,4,7,12,3,3,2,5,6,5,3,9,4,4,14,10,7,13,9,10,7,12,9,8,5,6,4,4,4,11,6,5,8,10,9,2,10,4,5,10,6,10,5,9,7
AGC00454.1,7,10,12,9,7,5,4,7,14,7,10,6,8,5,7,5,6,6,14,14,8,9,6,5,4,14,11,11,9,9,6,7,6,2,6,9,4,3,5,8,7,8,5,4,6,7,1,6,4,11,8,4,1,11,12,12,5,9,9,7,7,13,3,3,13,5,5,4,6,9,3,7,4,6,6,3,3,10,10,10,14,7,4,7,12,3,3,1,5,6,5,3,9,4,4,15,10,6,13,10,10,7,12,9,8,4,6,4,4,4,11,6,6,8,10,9,2,10,4,5,9,6,11,5,9,7
AGC00455.1,7,10,12,9,6,7,4,7,12,7,11,6,8,5,7,5,3,6,14,14,8,9,7,4,4,13,11,11,9,9,6,7,6,2,6,9,4,3,5,8,9,7,5,4,6,7,1,6,4,11,8,5,1,11,12,12,5,9,8,7,7,13,3,3,14,5,5,4,6,9,3,7,4,6,6,3,3,11,10,9,14,7,4,7,12,3,3,1,5,7,5,4,8,4,5,14,10,6,13,10,10,7,11,9,8,5,6,4,5,4,11,6,7,8,10,8,2,10,3,5,10,6,11,5,9,7
AGC00456.1,7,9,12,9,7,6,4,7,14,8,11,6,8,5,7,5,3,6,13,14,8,9,7,4,4,13,11,11,9,9,6,7,6,2,6,9,4,3,5,8,9,7,5,4,6,8,1,6,4,11,8,5,1,11,12,12,5,9,8,7,7,13,3,3,14,5,5,4,6,9,3,7,4,6,6,3,3,10,9,9,14,7,4,7,12,3,3,1,5,6,5,3,8,4,4,14,10,6,13,10,10,7,11,9,8,5,6,4,5,4,11,6,7,8,10,8,2,10,3,5,10,6,11,5,9,7
AGC00457.1,7,10,12,9,7,6,4,7,14,8,11,6,8,5,7,5,5,6,14,14,8,9,6,5,4,14,11,11,10,9,6,7,6,2,6,9,4,3,5,8,7,8,5,4,6,7,1,6,4,11,8,5,1,11,12,12,5,9,9,7,7,13,3,3,13,5,5,4,6,9,3,7,4,6,6,3,3,10,10,10,14,7,4,7,12,3,3,1,5,6,5,3,9,4,4,14,10,6,13,10,10,7,12,9,8,4,6,4,4,4,11,6,6,8,10,9,2,10,4,5,10,6,11,5,9,7
AGC00458.1,8,9,12,9,8,6,4,7,14,8,11,6,8,5,7,5,3,7,14,14,8,9,7,4,4,13,11,11,9,9,6,7,6,2,6,9,4,3,5,8,9,7,4,4,6,7,1,6,4,11,8,6,1,10,11,12,5,9,9,7,7,13,3,3,12,5,5,4,6,9,3,7,5,6,6,3,3,12,10,9,14,7,4,7,12,3,3,1,5,6,5,3,8,4,5,14,10,6,13,10,10,7,12,9,8,5,6,4,5,4,11,6,7,8,9,9,2,10,3,5,10,6,10,5,9,7
AGC00459.1,7,9,11,9,7,7,4,7,13,7,11,8,9,4,9,5,2,6,13,14,7,9,7,4,4,14,11,10,9,8,4,7,5,2,6,9,4,3,6,7,8,8,4,5,6,6,1,6,5,10,8,5,1,10,12,12,5,9,7,8,6,14,3,3,12,6,6,4,6,12,3,5,3,5,6,2,2,10,10,10,15,7,4,7,12,3,3,1,4,5,5,3,8,5,4,14,9,8,12,9,10,6,11,10,10,5,5,3,5,3,12,6,7,9,10,9,2,11,2,8,9,5,10,5,12,8
AGC00460.1,7,10,12,9,7,5,4,7,14,8,10,6,8,5,7,5,3,7,14,14,7,9,6,5,4,14,9,11,9,9,6,7,6,2,6,9,4,3,5,8,7,8,5,4,6,7,1,6,4,11,8,5,1,11,12,12,5,9,8,7,7,13,3,3,13,6,5,4,6,9,3,7,4,6,6,3,3,9,10,10,14,7,4,7,12,3,3,1,5,6,5,3,9,4,3,15,10,7,13,9,10,7,12,9,8,5,6,4,4,4,11,6,6,8,10,9,2,10,4,5,9,6,11,5,9,7
AGC00461.1,7,10,12,9,7,5,4,7,13,8,11,6,8,5,7,5,3,7,14,13,7,9,6,5,4,14,9,12,8,9,6,7,6,2,6,9,4,3,5,8,7,8,5,4,6,7,1,6,4,11,8,5,1,10,12,12,5,9,8,7,7,13,3,3,13,6,5,4,6,9,3,7,4,6,6,3,3,9,10,11,14,7,4,7,12,3,3,1,5,7,4,3,9,4,3,15,10,7,13,9,10,7,12,9,8,5,7,4,4,4,11,6,6,8,10,9,2,10,4,5,9,6,11,5,9,7
